Algoritmo,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
kmeans,7,0.1887665473034072,1448.0817339370365,1.4792714594226077
dbscan,2,0.1621800294154935,5.577162131718334,6.581420223009459
kmedoids,7,0.1595726635875836,1366.3774205834407,1.6665084358269904
