k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,42307.57567891828,0.9617680806157953,658.9982311562646,0.07210386303243707
3,37661.0964727915,0.9619690262992925,696.0410496232663,0.0573554633731622
4,33652.78132626748,0.9401391076682137,728.9476268428176,0.17270483850289114
5,29372.64140546096,0.9260678637921188,818.6794708772098,0.14188549102218587
6,25364.37429299666,0.9272524789957678,925.2076239158973,0.18874201978621405
7,21857.30312610966,0.928146030653623,1035.7459526642392,0.25177061387951183
8,18118.69090170416,0.9291182777125689,1226.3743759235474,0.2559122948226037
9,14820.894188539041,0.30469286157099384,1458.4052074204133,0.5038050479228166
10,11455.756437532376,0.30730327101094307,1849.081462090072,0.4972692963852194
